City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions,Date
100,Nikolskoye,RU,59.7035,30.7861,19.4,93,90,6.71,snow,2021-01-17 16:29:20
101,Qaanaaq,GL,77.484,-69.3632,-1.12,78,0,5.41,clear sky,2021-01-17 16:29:21
102,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,90,8.05,light snow,2021-01-17 16:29:21
103,Timbiqui,CO,2.7717,-77.6654,79.77,86,54,5.14,light rain,2021-01-17 16:29:21
104,Talakan,RU,50.3167,130.3667,-9.76,89,100,0.72,overcast clouds,2021-01-17 16:29:21
105,Hamilton,US,39.1834,-84.5333,35.6,87,90,9.22,light snow,2021-01-17 16:29:21
106,Coquimbo,CL,-29.9533,-71.3436,66.2,68,0,13.8,clear sky,2021-01-17 16:26:17
107,Jian,CN,27.1172,114.9793,41.92,63,0,1.74,clear sky,2021-01-17 16:29:21
108,Georgetown,MY,5.4112,100.3354,82.4,65,40,9.22,scattered clouds,2021-01-17 16:28:15
109,Mount Isa,AU,-20.7333,139.5,84.2,10,0,14.97,clear sky,2021-01-17 16:29:21
110,Santa Fe,AR,-31.6333,-60.7,80.01,31,0,8.01,clear sky,2021-01-17 16:29:21
111,Chipinge,ZW,-20.1883,32.6236,71.73,95,100,4.74,light rain,2021-01-17 16:29:21
112,Igarka,RU,67.4667,86.5833,-10.07,88,100,23.64,light snow,2021-01-17 16:29:22
113,Roald,NO,62.5833,6.1333,41.0,70,75,9.22,broken clouds,2021-01-17 16:29:23
114,Davidson,US,36.1501,-86.7833,43.0,56,90,11.5,overcast clouds,2021-01-17 16:29:23
115,Shar,KZ,49.5886,81.0453,9.63,88,17,9.57,few clouds,2021-01-17 16:29:23
116,Nanortalik,GL,60.1432,-45.2371,30.72,96,99,0.92,overcast clouds,2021-01-17 16:29:23
117,Namibe,AO,-15.1961,12.1522,82.4,54,0,18.41,clear sky,2021-01-17 16:29:23
118,Trincomalee,LK,8.5711,81.2335,79.2,82,64,15.41,light rain,2021-01-17 16:29:23
119,Laguna,US,38.421,-121.4238,46.99,87,1,5.75,mist,2021-01-17 16:29:23
120,Olinda,BR,-8.0089,-34.8553,82.4,65,40,19.57,scattered clouds,2021-01-17 16:29:23
121,Korla,CN,41.7597,86.1469,17.91,81,0,1.66,clear sky,2021-01-17 16:29:23
122,Pringsewu,ID,-5.3582,104.9744,74.79,89,98,1.86,overcast clouds,2021-01-17 16:29:23
123,Tasiilaq,GL,65.6145,-37.6368,23.0,86,40,5.75,fog,2021-01-17 16:29:23
124,Meulaboh,ID,4.1363,96.1285,77.7,82,100,5.06,overcast clouds,2021-01-17 16:29:23
125,Cockburn Town,TC,21.4612,-71.1419,77.95,74,100,11.59,overcast clouds,2021-01-17 16:29:23
126,Ixtapa,MX,20.7,-105.2,68.0,68,20,3.04,few clouds,2021-01-17 16:29:23
127,Butaritari,KI,3.0707,172.7902,80.42,76,22,19.53,few clouds,2021-01-17 16:29:23
128,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,13.8,few clouds,2021-01-17 16:29:24
129,Hithadhoo,MV,-0.6,73.0833,81.63,72,78,5.41,broken clouds,2021-01-17 16:29:24
130,Qiongshan,CN,20.0058,110.3542,59.0,58,75,8.95,broken clouds,2021-01-17 16:29:24
131,Westport,US,41.1415,-73.3579,42.8,45,20,21.85,few clouds,2021-01-17 16:27:51
132,Hammerfest,NO,70.6634,23.6821,35.6,93,75,8.05,broken clouds,2021-01-17 16:29:24
133,Port Antonio,JM,18.18,-76.4612,84.99,61,20,5.75,few clouds,2021-01-17 16:29:24
134,Lichinga,MZ,-13.3128,35.2406,73.0,83,75,8.05,light rain,2021-01-17 16:29:24
135,Saint-Augustin,CA,51.226,-58.6502,32.36,96,100,29.15,overcast clouds,2021-01-17 16:29:24
136,Finschhafen,PG,-6.6024,147.8681,80.64,76,36,1.95,light rain,2021-01-17 16:29:24
137,Mangochi,MW,-14.4782,35.2645,78.94,76,77,2.28,broken clouds,2021-01-17 16:29:24
138,Nome,US,64.5011,-165.4064,6.8,72,100,9.22,overcast clouds,2021-01-17 16:29:24
139,College,US,64.8569,-147.8028,8.6,78,90,3.49,overcast clouds,2021-01-17 16:29:24
140,Cairns,AU,-16.9167,145.7667,75.2,94,40,10.36,light rain,2021-01-17 16:29:24
141,Port-Gentil,GA,-0.7193,8.7815,80.6,89,75,8.05,moderate rain,2021-01-17 16:29:25
142,Ketchikan,US,55.3422,-131.6461,44.6,100,90,6.91,light rain,2021-01-17 16:29:25
143,Kuching,MY,1.55,110.3333,78.8,89,40,2.3,scattered clouds,2021-01-17 16:25:23
144,Cap Malheureux,MU,-19.9842,57.6142,81.0,79,91,11.01,overcast clouds,2021-01-17 16:29:25
145,Tessalit,ML,20.1986,1.0114,83.01,9,90,7.72,overcast clouds,2021-01-17 16:29:25
146,Olga,RU,43.7444,135.2892,1.2,85,0,5.48,clear sky,2021-01-17 16:29:25
147,Cape Town,ZA,-33.9258,18.4232,77.0,50,0,20.71,clear sky,2021-01-17 16:24:49
148,Torbay,CA,47.6666,-52.7314,34.0,100,90,16.11,light rain,2021-01-17 16:29:25
149,Taganak,PH,6.0833,118.3,73.4,94,40,4.61,light rain,2021-01-17 16:29:25
150,Pacific Grove,US,36.6177,-121.9166,59.0,66,1,9.22,clear sky,2021-01-17 16:29:25
151,Marmande,FR,44.5,0.1667,46.99,77,82,3.0,broken clouds,2021-01-17 16:29:25
152,Faanui,PF,-16.4833,-151.75,80.71,77,11,12.62,few clouds,2021-01-17 16:29:25
153,Upernavik,GL,72.7868,-56.1549,6.87,79,0,6.29,clear sky,2021-01-17 16:29:25
154,Calabozo,VE,8.9242,-67.4293,89.83,40,0,8.55,clear sky,2021-01-17 16:29:25
155,Chokurdakh,RU,70.6333,147.9167,-24.39,86,100,7.9,overcast clouds,2021-01-17 16:29:26
156,Nioro,GM,13.35,-15.75,97.18,8,81,9.15,broken clouds,2021-01-17 16:29:26
157,Villa Carlos Paz,AR,-31.4241,-64.4978,81.0,35,0,1.99,clear sky,2021-01-17 16:29:26
158,Berdigestyakh,RU,62.0989,126.6992,-47.06,76,100,4.27,overcast clouds,2021-01-17 16:29:26
159,Narasaraopet,IN,16.25,80.0667,69.44,80,0,5.53,clear sky,2021-01-17 16:29:26
160,Iqaluit,CA,63.7506,-68.5145,-14.8,64,20,5.75,few clouds,2021-01-17 16:29:26
161,Biak,ID,-0.9131,122.8766,76.57,83,100,3.11,moderate rain,2021-01-17 16:29:26
162,Vila,PT,42.0304,-8.1588,57.0,57,4,5.01,clear sky,2021-01-17 16:29:26
163,Prince Rupert,CA,54.3161,-130.3201,44.6,93,90,2.3,mist,2021-01-17 16:29:26
164,Kalmunai,LK,7.4167,81.8167,78.04,83,94,6.02,overcast clouds,2021-01-17 16:26:02
165,Srednekolymsk,RU,67.45,153.6833,-40.32,81,57,2.82,broken clouds,2021-01-17 16:29:26
166,Kumluca,TR,36.3703,30.2869,50.95,46,6,9.62,clear sky,2021-01-17 16:29:27
167,Lorengau,PG,-2.0226,147.2712,82.85,78,98,14.76,overcast clouds,2021-01-17 16:29:27
168,Luderitz,NA,-26.6481,15.1594,71.08,61,0,17.67,clear sky,2021-01-17 16:29:27
169,Kollegal,IN,12.15,77.1167,75.2,60,11,6.08,few clouds,2021-01-17 16:29:27
170,Clyde River,CA,70.4692,-68.5914,6.8,92,90,23.02,light snow,2021-01-17 16:29:27
171,Bredasdorp,ZA,-34.5322,20.0403,73.4,60,10,13.8,clear sky,2021-01-17 16:29:27
172,Salalah,OM,17.0151,54.0924,75.2,50,0,2.3,clear sky,2021-01-17 16:29:27
