City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
539,Robertsport,LR,82.17,clear sky,6.7533,-11.3686,Kwepunha Retreat
546,Alugan,PH,79.18,overcast clouds,12.2188,125.4808,JM Lodge
551,Itarema,BR,87.93,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
556,Prado,BR,83.16,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
557,Natal,BR,84.2,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
563,Varkkallai,IN,82.4,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
564,Pontianak,ID,78.8,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
570,Bajil,YE,78.51,broken clouds,15.0584,43.2851,شبكة ماكس نت MAX WIFI
574,Sampang,ID,77.0,light rain,-7.1872,113.2394,sekretariat IKA STAIN
582,Nampula,MZ,87.8,moderate rain,-15.1165,39.2666,Tacab Residencial
591,Chokwe,MZ,77.74,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
593,Pochutla,MX,81.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
594,Puerto Narino,CO,89.6,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
595,Pangai,TO,80.82,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
596,Hualmay,PE,76.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
597,Garissa,KE,89.51,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
601,Puerto Escondido,MX,82.65,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
611,Sabang,ID,82.02,light rain,5.8933,95.3214,Hotel Citra
618,Campo Maior,BR,85.68,broken clouds,-4.8278,-42.1686,Elite Hotel
626,Champerico,GT,82.4,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
628,Sechura,PE,82.09,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
630,George Town,MY,82.4,scattered clouds,5.4112,100.3354,Cititel Penang
635,Eydhafushi,MV,82.51,clear sky,5.1033,73.0708,Soneva Fushi
638,Xai-Xai,MZ,78.98,overcast clouds,-25.0519,33.6442,Complexo da Familia
640,Iquitos,PE,89.6,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
644,Kikwit,CD,78.51,light rain,-5.041,18.8162,Guest L'Amour
645,Poum,NC,81.52,moderate rain,-20.2333,164.0167,Gîte kajeon
646,Maumere,ID,79.77,moderate rain,-8.6199,122.2111,Sylvia Hotel
647,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
649,Puerto Baquerizo Moreno,EC,82.4,few clouds,-0.9,-89.6,Hotel los Algarrobos
654,Zamboanguita,PH,82.4,moderate rain,9.1025,123.1996,Thalatta Dive Resort
657,Maputo,MZ,82.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
658,Kigoma,TZ,82.4,light rain,-4.8769,29.6267,Kigoma Hilltop Hotel
668,Chapada Dos Guimaraes,BR,75.2,moderate rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
669,Majene,ID,79.56,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
670,Puerto Cabezas,NI,84.2,broken clouds,14.0351,-83.3888,Hotel Caribe
678,Riyadh,SA,77.0,clear sky,24.6877,46.7219,InterContinental Riyadh
685,Caravelas,BR,84.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
686,Hervey Bay,AU,75.99,broken clouds,-25.2986,152.8535,Shelly Bay Resort
687,Porto Franco,BR,87.53,light rain,-6.3383,-47.3992,Saint Louis Hotel
