City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Vanimo,PG,2021-01-17 03:01:16,-2.6741,141.3028,87.3,61,100,6.98
125,Benjamin Constant,BR,2021-01-17 03:01:59,-4.3831,-70.0311,75.87,94,92,1.95
126,Hambantota,LK,2021-01-17 03:01:59,6.1241,81.1185,75.2,100,75,4.61
127,Flin Flon,CA,2021-01-17 03:00:11,54.7682,-101.865,7.36,94,100,9.55
128,Baykit,RU,2021-01-17 03:01:59,61.67,96.37,-27.89,79,100,4.03
129,Ribeira Grande,PT,2021-01-17 03:02:00,38.5167,-28.7,62.1,92,100,28.83
130,Port Blair,IN,2021-01-17 03:02:00,11.6667,92.75,81.41,66,0,15.01
131,Buchrain,CH,2021-01-17 03:02:00,47.086,8.3462,28.99,93,90,2.04
132,Iberia,US,2021-01-17 03:00:57,29.9502,-91.7507,44.6,61,1,3.29
133,Dalvik,IS,2021-01-17 03:02:00,65.9702,-18.5286,32.0,100,20,2.3
134,Pevek,RU,2021-01-17 03:01:46,69.7008,170.3133,-21.21,84,28,2.35
135,Omsukchan,RU,2021-01-17 03:02:00,62.5333,155.8,-35.72,80,93,5.84
136,Hohhot,CN,2021-01-17 03:02:00,40.8106,111.6522,5.0,61,0,2.24
137,Port Antonio,JM,2021-01-17 03:02:01,18.18,-76.4612,80.6,78,75,2.3
138,La Ronge,CA,2021-01-17 03:02:01,55.1001,-105.2842,8.6,78,71,5.75
139,Vostok,RU,2021-01-17 03:02:01,46.4856,135.8833,-1.5,84,74,2.84
140,Jashpurnagar,IN,2021-01-17 03:02:01,22.9,84.15,59.45,33,0,3.69
141,Cape Town,ZA,2021-01-17 02:58:08,-33.9258,18.4232,64.0,88,0,8.05
142,Paamiut,GL,2021-01-17 03:02:01,61.994,-49.6678,26.31,97,100,25.9
143,Coihaique,CL,2021-01-17 03:02:02,-45.5752,-72.0662,57.2,67,0,2.3
144,Bogorodskoye,RU,2021-01-17 03:02:02,56.55,37.8833,-14.04,90,99,6.44
145,Rondonopolis,BR,2021-01-17 03:00:51,-16.4708,-54.6356,73.99,92,100,4.56
146,Waipawa,NZ,2021-01-17 03:02:02,-41.4122,175.5153,68.0,88,75,26.46
147,Saint-Philippe,RE,2021-01-17 03:02:02,-21.3585,55.7679,79.0,73,0,3.44
148,Rognan,NO,2021-01-17 03:02:02,67.0953,15.3878,26.01,89,86,6.24
149,Mananjary,MG,2021-01-17 03:02:02,-21.2167,48.3333,77.5,86,12,6.33
150,Arica,CL,2021-01-17 03:02:03,-18.475,-70.3042,71.6,60,0,1.14
151,Bintulu,MY,2021-01-17 03:02:03,3.1667,113.0333,80.6,89,40,3.44
152,Pulo,PH,2021-01-17 03:02:03,15.246,120.9285,80.6,61,75,4.61
153,Souillac,MU,2021-01-17 03:02:03,-20.5167,57.5167,78.8,83,40,8.05
154,Nikolskoye,RU,2021-01-17 03:02:03,59.7035,30.7861,14.0,85,90,8.95
155,Lompoc,US,2021-01-17 03:02:03,34.6391,-120.4579,66.0,59,0,11.5
156,Oranjemund,NA,2021-01-17 03:02:03,-28.55,16.4333,61.93,87,0,5.77
157,Balaipungut,ID,2021-01-17 03:02:03,1.05,101.2833,82.4,74,40,6.91
158,Sidvokodvo,SZ,2021-01-17 03:02:04,-26.6282,31.4202,77.0,83,100,6.91
159,Carutapera,BR,2021-01-17 03:02:04,-1.195,-46.02,77.0,85,52,4.59
160,Ca Mau,VN,2021-01-17 03:02:04,9.1769,105.15,82.11,58,83,10.13
161,Lososina,RU,2021-01-17 03:02:04,48.9975,140.3106,2.41,75,1,4.45
162,Dabakala,CI,2021-01-17 03:02:04,8.3667,-4.4333,71.69,22,11,1.74
163,Lagoa,PT,2021-01-17 03:02:04,39.05,-27.9833,61.03,97,100,16.62
164,Kahului,US,2021-01-17 02:58:50,20.8947,-156.47,84.2,48,1,9.22
165,East London,ZA,2021-01-17 02:57:53,-33.0153,27.9116,68.83,69,14,19.08
166,Vila Franca Do Campo,PT,2021-01-17 03:02:05,37.7167,-25.4333,61.0,94,75,13.8
167,Mahibadhoo,MV,2021-01-17 03:02:05,3.7833,72.9667,81.46,69,29,6.04
168,Saldanha,ZA,2021-01-17 03:02:05,-33.0117,17.9442,59.0,88,0,1.14
169,Honiara,SB,2021-01-17 03:02:05,-9.4333,159.95,85.44,69,83,3.4
170,Olafsvik,IS,2021-01-17 02:57:12,64.8945,-23.7142,35.74,94,100,17.76
171,Ancud,CL,2021-01-17 03:02:05,-41.8697,-73.8203,53.6,87,75,3.44
172,Nizhnevartovsk,RU,2021-01-17 03:02:05,60.9344,76.5531,10.4,85,0,11.18
173,Irtyshskiy,RU,2021-01-17 03:02:05,58.3333,68.1333,12.97,96,100,10.36
174,Reconquista,AR,2021-01-17 03:02:06,-29.15,-59.65,71.28,91,38,1.95
175,Andapa,MG,2021-01-17 03:02:06,-14.65,49.65,68.68,90,45,2.42
176,Athabasca,CA,2021-01-17 03:02:06,54.7169,-113.2854,26.6,74,67,4.61
177,Port Elizabeth,ZA,2021-01-17 02:59:23,-33.918,25.5701,68.0,77,20,14.97
178,Macherla,IN,2021-01-17 03:02:06,16.4833,79.4333,73.31,61,0,3.89
179,Nouadhibou,MR,2021-01-17 03:02:06,20.931,-17.0347,62.6,29,80,17.27
180,Luderitz,NA,2021-01-17 03:02:06,-26.6481,15.1594,62.11,77,0,9.24
181,Kokoda,PG,2021-01-17 03:02:07,-8.8785,147.7407,85.91,60,100,5.68
182,Campbeltown,GB,2021-01-17 03:02:07,55.4258,-5.6076,42.8,87,20,23.02
183,Bahia Honda,CU,2021-01-17 03:02:07,22.9036,-83.1592,66.34,67,82,6.22
184,Svetlogorsk,BY,2021-01-17 03:02:07,52.6333,29.7333,-0.38,90,98,4.45
185,Sibolga,ID,2021-01-17 03:02:07,1.7427,98.7792,86.11,51,100,1.66
186,Pisco,PE,2021-01-17 03:02:07,-13.7,-76.2167,68.0,83,0,17.27
187,New Norfolk,AU,2021-01-17 03:02:07,-42.7826,147.0587,64.99,60,98,8.01
188,Nusaybin,TR,2021-01-17 03:02:07,37.0778,41.2178,45.3,70,58,7.58
189,Bredasdorp,ZA,2021-01-17 03:02:08,-34.5322,20.0403,60.8,88,0,5.75
190,Susehri,TR,2021-01-17 03:02:08,40.1644,38.0867,37.92,83,100,5.66
191,Sisimiut,GL,2021-01-17 02:57:37,66.9395,-53.6735,17.89,84,100,19.71
192,Jiaonan,CN,2021-01-17 03:02:08,35.8786,119.9753,34.0,55,0,6.71
193,Lata,PT,2021-01-17 03:02:08,40.1629,-8.3327,45.0,93,0,3.44
194,Liku,ID,2021-01-17 03:02:08,-0.7275,119.8922,84.22,61,100,6.67
195,Oksfjord,NO,2021-01-17 03:02:08,70.2396,22.3479,33.8,100,90,4.32
196,Yar-Sale,RU,2021-01-17 03:02:08,66.8333,70.8333,-7.15,91,100,12.06
197,Acapulco,MX,2021-01-17 03:02:08,16.8634,-99.8901,78.8,83,75,1.68
198,Ostrovnoy,RU,2021-01-17 03:02:08,68.0531,39.5131,29.34,98,100,4.52
199,Price,US,2021-01-17 03:02:09,39.5994,-110.8107,35.6,51,1,12.66
200,Novosheshminsk,RU,2021-01-17 03:02:09,55.0651,51.2338,7.63,93,100,14.38
201,San Patricio,US,2021-01-17 03:02:09,28.017,-97.5169,53.01,71,20,8.05
